search_word,title,price,url
Хлеб,"Хлеб формовой, 300г","49,99 ₽",https://www.perekrestok.ru/cat/196/p/hleb-formovoj-300g-78009395
Хлеб,"Батон Нарезной нарезанный Маркет Перекрёсток, 190г","33,99 ₽",https://www.perekrestok.ru/cat/243/p/baton-nareznoj-narezannyj-market-perekrestok-190g-4102687
Хлеб,"Хлеб Бородинский формовой часть изделия нарезка Маркет Перекрёсток, 370г","53,99 ₽",https://www.perekrestok.ru/cat/243/p/hleb-borodinskij-formovoj-cast-izdelia-narezka-market-perekrestok-370g-3974719
Хлеб,"Батон, 300г","49,99 ₽",https://www.perekrestok.ru/cat/196/p/baton-300g-78011178
Хлеб,"Батон Нарезной классический нарезка 1 сорт Пр!ст, 300г","20,70 ₽",https://www.perekrestok.ru/cat/243/p/baton-nareznoj-klassiceskij-narezka-1-sort-pr-st-300g-3680023
Хлеб,"Лаваш Армянский Маркет Перекрёсток, 200г","59,99 ₽",https://www.perekrestok.ru/cat/244/p/lavas-armanskij-market-perekrestok-200g-4199211
Хлеб,"Булочка для хот-дога 4шт Маркет, 240г","75,99 ₽",https://www.perekrestok.ru/cat/243/p/bulocka-dla-hot-doga-4st-market-240g-4317073
Хлеб,"Хлеб Измайловский подовый нарезанный Маркет, 360г","43,99 ₽",https://www.perekrestok.ru/cat/243/p/hleb-izmajlovskij-podovyj-narezannyj-market-360g-4318513
Хлеб,"Булочка для гамбургера с кунжутом 3шт Маркет, 165г","53,99 ₽",https://www.perekrestok.ru/cat/243/p/bulocka-dla-gamburgera-s-kunzutom-3st-market-165g-4317052
Хлеб,"Батон Новый Пр!ст, 380г","21,80 ₽",https://www.perekrestok.ru/cat/243/p/baton-novyj-pr-st-380g-4157283
Хлеб,"Булочка Бриошь 3шт Маркет, 267г","73,99 ₽",https://www.perekrestok.ru/cat/243/p/bulocka-brios-3st-market-267g-4317056
Хлеб,"Хлебец Белый с отрубями нарезанный Зелёная Линия, 300г","45,99 ₽",https://www.perekrestok.ru/cat/243/p/hlebec-belyj-s-otrubami-narezannyj-zelenaa-linia-300g-4323653
Хлеб,"Багет Традиционный, 150г","29,99 ₽",https://www.perekrestok.ru/cat/196/p/baget-tradicionnyj-150g-78001023
Хлеб,"Хлеб Ржевский цельнозерновой Маркет Collection, 450г","129,99 ₽",https://www.perekrestok.ru/cat/243/p/hleb-rzevskij-celnozernovoj-market-collection-450g-4361612
Хлеб,"Батон Горчичный нарезанный Маркет, 190г","41,99 ₽",https://www.perekrestok.ru/cat/243/p/baton-gorcicnyj-narezannyj-market-190g-4318510
Хлеб,"Хлеб Пумперникель Вестфальский цельнозерновой Маркет Collection, 450г","129,99 ₽",https://www.perekrestok.ru/cat/243/p/hleb-pumpernikel-vestfalskij-celnozernovoj-market-collection-450g-4361611
Хлеб,"Хлеб Перекрёсток Советский, 300г","39,99 ₽",https://www.perekrestok.ru/cat/196/p/hleb-perekrestok-sovetskij-300g-66538
Хлеб,"Хлебец цельнозерновой нарезанный Зелёная Линия, 300г","77,99 ₽",https://www.perekrestok.ru/cat/243/p/hlebec-celnozernovoj-narezannyj-zelenaa-linia-300g-4323651
Хлеб,"Батон Зерновой нарезанный Маркет, 300г","69,99 ₽",https://www.perekrestok.ru/cat/243/p/baton-zernovoj-narezannyj-market-300g-4318511
Хлеб,"Хлеб солодовый, 300г","49,99 ₽",https://www.perekrestok.ru/cat/196/p/hleb-solodovyj-300g-78009545
Хлеб,"Хлебец пшенично-ржаной с пророщенными зёрнами нарезанный Зелёная Линия, 250г","73,99 ₽",https://www.perekrestok.ru/cat/243/p/hlebec-psenicno-rzanoj-s-prorosennymi-zernami-narezannyj-zelenaa-linia-250g-4323654
Хлеб,"Хлеб Сельский, 600г","54,99 ₽",https://www.perekrestok.ru/cat/196/p/hleb-selskij-600g-78000800
Хлеб,"Батон Молочный нарезанный Пр!ст, 280г","22,72 ₽",https://www.perekrestok.ru/cat/243/p/baton-molocnyj-narezannyj-pr-st-280g-4329401
Хлеб,"Хлеб Крестьянский пшеничный бездрожжевой подовый со злаками Зелёная Линия, 300г","95,99 ₽",https://www.perekrestok.ru/cat/243/p/hleb-krestanskij-psenicnyj-bezdrozzevoj-podovyj-so-zlakami-zelenaa-linia-300g-4148561
Хлеб,"Багет Парижский Перекрёсток, 140г","34,99 ₽",https://www.perekrestok.ru/cat/196/p/baget-parizskij-perekrestok-140g-78007697
Хлеб,"Хлеб Дарницкий формовой нарезка Пр!ст, 650г","32,50 ₽",https://www.perekrestok.ru/cat/243/p/hleb-darnickij-formovoj-narezka-pr-st-650g-4074396
Хлеб,"Багет, 230г","39,99 ₽",https://www.perekrestok.ru/cat/196/p/baget-230g-78010859
Хлеб,"Хлеб Дарницкий формовой часть изделия нарезка Пр!ст, 325г","29,99 ₽",https://www.perekrestok.ru/cat/243/p/hleb-darnickij-formovoj-cast-izdelia-narezka-pr-st-325g-3627134
Хлеб,"Батон Нарезной улучшенный нарезанный Маркет, 330г","39,99 ₽",https://www.perekrestok.ru/cat/243/p/baton-nareznoj-ulucsennyj-narezannyj-market-330g-4329402
Хлеб,"Лаваш Коломенский Армянский тонкий, 200г","67,99 ₽",https://www.perekrestok.ru/cat/244/p/lavas-kolomenskij-armanskij-tonkij-200g-4361122
Хлеб,"Хлеб Горчичный, 300г","49,99 ₽",https://www.perekrestok.ru/cat/196/p/hleb-gorcicnyj-300g-78020935
Хлеб,"Хлеб Монж, 260г","129,00 ₽",https://www.perekrestok.ru/cat/196/p/hleb-monz-260g-78034683
Хлеб,"Батон к завтраку нарезанный Пр!ст, 300г","15,99 ₽",https://www.perekrestok.ru/cat/243/p/baton-k-zavtraku-narezannyj-pr-st-300g-4264947
Хлеб,"Плетёнка с кунжутом, 290г","79,00 ₽",https://www.perekrestok.ru/cat/196/p/pletenka-s-kunzutom-290g-78034124
Хлеб,"Хлеб с отрубями, 300г","49,99 ₽",https://www.perekrestok.ru/cat/196/p/hleb-s-otrubami-300g-78009384
Хлеб,"Батон Коломенское Нарезной, 400г","75,99 ₽",https://www.perekrestok.ru/cat/243/p/baton-kolomenskoe-nareznoj-400g-2065120
Хлеб,"Багет Перекрёсток с чесноком половинка, 160г","79,99 ₽",https://www.perekrestok.ru/cat/196/p/baget-perekrestok-s-cesnokom-polovinka-160g-78009330
Хлеб,"Хлеб Перекрёсток Французский, 400г","49,99 ₽",https://www.perekrestok.ru/cat/196/p/hleb-perekrestok-francuzskij-400g-49457
Хлеб,"Хлеб Ароматный с изюмом ржано-пшеничный подовый Зелёная Линия, 300г","93,99 ₽",https://www.perekrestok.ru/cat/243/p/hleb-aromatnyj-s-izumom-rzano-psenicnyj-podovyj-zelenaa-linia-300g-4148553
Хлеб,"Хлеб Бородинский новый заварной нарезанный Пр!ст, 400г","37,99 ₽",https://www.perekrestok.ru/cat/243/p/hleb-borodinskij-novyj-zavarnoj-narezannyj-pr-st-400g-4329404
Хлеб,"Хлеб Картофельный с розмарином, 275г","79,99 ₽",https://www.perekrestok.ru/cat/196/p/hleb-kartofelnyj-s-rozmarinom-275g-78035405
Хлеб,"Хлеб Гречневый, 280г","99,00 ₽",https://www.perekrestok.ru/cat/196/p/hleb-grecnevyj-280g-78034523
Хлеб,"Хлеб Деревенский ржано-пшеничный подовый Зелёная Линия, 220г","95,99 ₽",https://www.perekrestok.ru/cat/243/p/hleb-derevenskij-rzano-psenicnyj-podovyj-zelenaa-linia-220g-4148558
Хлеб,"Хлеб Крестьянский формовой нарезанный Пр!ст, 500г","37,99 ₽",https://www.perekrestok.ru/cat/243/p/hleb-krestanskij-formovoj-narezannyj-pr-st-500g-4159802
Хлеб,"Хлеб Мариинский с изюмом, 300г","49,99 ₽",https://www.perekrestok.ru/cat/196/p/hleb-mariinskij-s-izumom-300g-19785
Хлеб,"Багет ржаной Перекрёсток с чесноком половинка, 180г","79,99 ₽",https://www.perekrestok.ru/cat/196/p/baget-rzanoj-perekrestok-s-cesnokom-polovinka-180g-78009518
Яйца,"Яйцо куриное пищевое столовое СО Маркет Перекрёсток, 10шт","119,99 ₽",https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-pisevoe-stolovoe-so-market-perekrestok-10st-3634491
Яйца,"Яйцо куриное С1 Пр!ст, 10шт","89,99 ₽",https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-s1-pr-st-10st-4085791
Яйца,"Яйцо куриное столовое С1 Маркет Перекрёсток, 10шт","109,99 ₽",https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-stolovoe-s1-market-perekrestok-10st-3662512
Яйца,"Яйцо куриное активита С1 с селеном и йодом Зелёная Линия, 10шт","124,99 ₽",https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-aktivita-s1-s-selenom-i-jodom-zelenaa-linia-10st-4068694
Яйца,"Белок яичный пастеризованный Зелёная Линия, 330мл","119,99 ₽",https://www.perekrestok.ru/cat/123/p/belok-aicnyj-pasterizovannyj-zelenaa-linia-330ml-4235685
Яйца,"Яйцо перепелиное столовое Маркет Перекрёсток, 20шт","149,99 ₽",https://www.perekrestok.ru/cat/123/p/ajco-perepelinoe-stolovoe-market-perekrestok-20st-3477870
Яйца,"Яйцо куриное пищевое столовое С1 Маркет Перекрёсток, 20шт","229,99 ₽",https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-pisevoe-stolovoe-s1-market-perekrestok-20st-4088955
Яйца,"Яйцо куриное пищевое столовое С2 Пр!ст, 10шт","79,99 ₽",https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-pisevoe-stolovoe-s2-pr-st-10st-4085792
Яйца,"Яйца перепелиные Маркет, 20шт","149,99 ₽",https://www.perekrestok.ru/cat/123/p/ajca-perepelinye-market-20st-4321659
Яйца,"Яйца Молодецкие перепелиные копченые Маркет Collection, 15шт","189,99 ₽",https://www.perekrestok.ru/cat/123/p/ajca-molodeckie-perepelinye-kopcenye-market-collection-15st-4318428
Яйца,"Желток яичный пастеризованный охлаждённый жидкий Зелёная Линия, 330мл","159,99 ₽",https://www.perekrestok.ru/cat/123/p/zeltok-aicnyj-pasterizovannyj-ohlazdennyj-zidkij-zelenaa-linia-330ml-4304241
Яйца,"Меланж яичный пастеризованный охлажденный жидкий Зелёная Линия, 330мл","79,99 ₽",https://www.perekrestok.ru/cat/123/p/melanz-aicnyj-pasterizovannyj-ohlazdennyj-zidkij-zelenaa-linia-330ml-4304500
Яйца,"Яйцо Окское столовое СО, 10шт","119,99 ₽",https://www.perekrestok.ru/cat/123/p/ajco-okskoe-stolovoe-so-10st-3062835
Яйца,"Яйцо куриное Окское столовое С1, 10шт","106,99 ₽",https://www.perekrestok.ru/cat/123/p/ajco-kurinoe-okskoe-stolovoe-s1-10st-3062836
